siteID,year,genus,<0,0-8,8-28,-48,-68,-88,>88,max_diam,max_ht,leaf_area_ind,basal_area,total_biomC,pl_biomC_std,total_biomN,pl_biomN_std
0,0,Acer',0,1508,0,0,0,0,0,2.50000,3.05353,0.148407,0.327902,0.567978,0.626900E-01,0.339858E-05,0.376980E-03
0,0,Aesculus',0,8,0,0,0,0,0,2.50000,3.00605,0.733722E-03,0.156932E-02,0.197190E-02,0.374547E-02,0.149443E-07,0.288122E-04
0,0,Carya',0,34,0,0,0,0,0,2.50000,4.08064,0.373509E-02,0.847899E-02,0.166662E-01,0.154326E-01,0.908046E-07,0.840927E-04
0,0,Cercis',0,10,0,0,0,0,0,2.50000,3.38700,0.997060E-03,0.249909E-02,0.480468E-02,0.834350E-02,0.250303E-07,0.434835E-04
0,0,Comus',0,10,0,0,0,0,0,2.50000,2.68348,0.106163E-02,0.221811E-02,0.504625E-02,0.754089E-02,0.264967E-07,0.403325E-04
0,0,Diospyros',0,5,0,0,0,0,0,2.50000,2.52747,0.558328E-03,0.106272E-02,0.284431E-02,0.639447E-02,0.143581E-07,0.329465E-04
0,0,Fagus',0,9,0,0,0,0,0,2.50000,2.83934,0.926829E-03,0.197684E-02,0.391287E-02,0.688469E-02,0.220375E-07,0.393127E-04
0,0,Fraxinus',0,896,0,0,0,0,0,2.50000,2.71974,0.102127,0.194106,0.393795,0.643153E-01,0.234528E-05,0.391551E-03
0,0,Juglans',0,9,0,0,0,0,0,2.50000,2.57564,0.134714E-02,0.245336E-02,0.474017E-02,0.736829E-02,0.299265E-07,0.471905E-04
0,0,Juniperus',0,8,0,0,0,0,0,2.50000,3.24273,0.938939E-03,0.198143E-02,0.326260E-02,0.597170E-02,0.208127E-07,0.382591E-04
0,0,Liquidambar',0,69,0,0,0,0,0,2.50000,3.12461,0.732396E-02,0.149833E-01,0.235299E-01,0.156323E-01,0.157721E-06,0.105560E-03
0,0,Liriodendron',0,874,0,0,0,0,0,2.50000,2.45508,0.113150,0.187749,0.339284,0.539798E-01,0.238283E-05,0.391426E-03
0,0,Nyssa',0,8,0,0,0,0,0,2.50000,2.55069,0.917647E-03,0.181880E-02,0.333009E-02,0.528942E-02,0.206102E-07,0.333738E-04
0,0,Oxydendron',0,851,0,0,0,0,0,2.50000,4.23263,0.733865E-01,0.186242,0.284852,0.563494E-01,0.168944E-05,0.330421E-03
0,0,Pinus',0,16,0,0,0,0,0,2.50000,3.98862,0.154001E-02,0.356377E-02,0.572008E-02,0.775479E-02,0.349558E-07,0.469778E-04
0,0,Prunus',0,87,0,0,0,0,0,2.50000,2.52747,0.110436E-01,0.196884E-01,0.367037E-01,0.209254E-01,0.240542E-06,0.139906E-03
0,0,Quercus',0,562,0,0,0,0,0,2.50000,2.92864,0.652521E-01,0.120502,0.268504,0.535843E-01,0.153602E-05,0.311680E-03
0,0,Robinia',0,10,0,0,0,0,0,2.50000,2.69135,0.114199E-02,0.207154E-02,0.504052E-02,0.850156E-02,0.276408E-07,0.475389E-04
0,0,Sassafras',0,9,0,0,0,0,0,2.50000,3.88995,0.964199E-03,0.224364E-02,0.301245E-02,0.552161E-02,0.205745E-07,0.373414E-04
0,0,Tilia',0,9,0,0,0,0,0,2.50000,3.35132,0.813540E-03,0.190463E-02,0.214058E-02,0.407031E-02,0.164682E-07,0.314258E-04
0,100,Acer',0,0,7,16,0,0,0,100.066,31.3743,0.375493,2.42011,7.90346,13.0323,0.229687E-04,0.376173E-01
0,100,Aesculus',0,0,0,0,0,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0,100,Carya',0,0,1,1,0,0,0,71.6909,32.5328,0.975477E-01,0.565760,2.81978,10.1780,0.767043E-05,0.275595E-01
0,100,Cercis',0,0,0,0,0,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0,100,Comus',0,0,0,0,0,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0,100,Diospyros',0,0,0,0,0,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0,100,Fagus',0,0,3,0,0,0,0,30.9579,16.1706,0.273600E-01,0.899043E-01,0.280424,0.843480,0.101703E-05,0.293722E-02
0,100,Fraxinus',0,0,5,10,0,0,0,54.0383,21.8350,0.109184,1.36378,2.82098,4.55593,0.784060E-05,0.130884E-01
0,100,Juglans',0,0,0,0,0,0,0,106.357,28.7391,0.688822E-01,0.709462,2.05008,9.84152,0.554733E-05,0.267602E-01
0,100,Juniperus',0,0,0,0,0,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0,100,Liquidambar',0,0,0,0,0,0,0,24.8718,15.6838,0.339592E-03,0.485854E-02,0.759544E-02,0.107416,0.217674E-07,0.307837E-03
0,100,Liriodendron',0,0,0,1,2,3,20,141.210,30.6204,2.50231,23.2223,57.7235,46.6918,0.164297E-03,0.128444
0,100,Nyssa',0,0,0,0,0,0,0,17.0406,8.17624,0.711611E-03,0.228065E-02,0.451733E-02,0.638846E-01,0.202825E-07,0.286838E-03
0,100,Oxydendron',0,0,0,0,0,0,0,11.3999,10.4323,0.517524E-03,0.727014E-02,0.898377E-02,0.489596E-01,0.274140E-07,0.154004E-03
0,100,Pinus',0,0,2,0,0,0,0,31.5607,23.1222,0.263859E-01,0.125717,0.371022,1.11145,0.120562E-05,0.358753E-02
0,100,Prunus',0,0,0,4,6,2,0,79.6756,24.8486,0.316431,3.11499,6.84193,10.0045,0.197595E-04,0.294323E-01
0,100,Quercus',0,0,25,30,12,0,0,70.7259,24.0873,1.07258,7.27154,20.4318,17.7286,0.608443E-04,0.524875E-01
