siteID,year,genus,species,<0,0-8,8-28,-48,-68,-88,>88,max_diam,max_hgt,leaf_area_ind,basal_area,total_biomC,pl_biomC_std,total_biomN,pl_biomN_std
0,0,Robinia',ROBIpseu,0.00000,10.0000,0.00000,0.00000,0.00000,0.00000,0.00000,2.50000,2.69135,0.114199E-02,0.207154E-02,0.504052E-02,0.850156E-02,0.276408E-07,0.475389E-04
0,0,Sassafras',SASSalbi,0.00000,9.40000,0.00000,0.00000,0.00000,0.00000,0.00000,2.50000,3.88995,0.964199E-03,0.224364E-02,0.301245E-02,0.552161E-02,0.205745E-07,0.373414E-04
0,0,Tilia',TILIhete,0.00000,9.30000,0.00000,0.00000,0.00000,0.00000,0.00000,2.50000,3.35132,0.813540E-03,0.190463E-02,0.214058E-02,0.407031E-02,0.164682E-07,0.314258E-04
0,100,Acer',ACERrubr,0.00000,0.00000,0.00000,0.00000,0.00000,0.100000,0.400000,100.066,31.3743,0.778529E-01,0.338372,1.75153,11.1313,0.501303E-05,0.318547E-01
0,100,Acer',ACERsacc,0.00000,0.00000,7.30000,16.4000,0.100000,0.00000,0.00000,51.1247,23.6832,0.297640,2.08173,6.15192,7.88679,0.179556E-04,0.231760E-01
0,100,Aesculus',AESCocta,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0,100,Carya',CARYcord,0.00000,0.00000,0.00000,0.00000,0.500000,0.700000,0.00000,71.6909,32.5328,0.806911E-01,0.427471,2.39831,10.1510,0.649116E-05,0.274688E-01
0,100,Carya',CARYglab,0.00000,0.00000,0.500000,0.500000,0.00000,0.00000,0.00000,33.8303,18.8972,0.727320E-02,0.629075E-01,0.180238,0.903035,0.505230E-06,0.255475E-02
0,100,Carya',CARYovat,0.00000,0.00000,0.400000,0.600000,0.00000,0.00000,0.00000,39.1147,23.2975,0.927731E-02,0.655878E-01,0.225758,1.19892,0.635238E-06,0.338634E-02
0,100,Carya',CARYtome,0.00000,0.00000,0.400000,0.00000,0.00000,0.00000,0.00000,19.9795,12.4794,0.306039E-03,0.979361E-02,0.154745E-01,0.111854,0.387935E-07,0.279101E-03
0,100,Cercis',CERCcana,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0,100,Comus',CORNflor,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0,100,Diospyros',DIOSvirg,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0,100,Fagus',FAGUgran,0.00000,0.00000,3.50000,0.200000,0.00000,0.00000,0.00000,30.9579,16.1706,0.273600E-01,0.899043E-01,0.280424,0.843480,0.101703E-05,0.293722E-02
0,100,Fraxinus',FRAXamer,0.100000,0.00000,5.50000,10.7000,0.200000,0.00000,0.00000,54.0383,21.8350,0.109184,1.36378,2.82098,4.55593,0.784060E-05,0.130884E-01
0,100,Juglans',JUGLnigr,0.00000,0.00000,0.200000,0.200000,0.300000,0.300000,0.600000,106.357,28.7391,0.688822E-01,0.709462,2.05008,9.84152,0.554733E-05,0.267602E-01
0,100,Juniperus',JUNIvirg,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0,100,Liquidambar',LIQUstya,0.00000,0.00000,0.100000,0.00000,0.00000,0.00000,0.00000,24.8718,15.6838,0.339592E-03,0.485854E-02,0.759544E-02,0.107416,0.217674E-07,0.307837E-03
0,100,Liriodendron',LIRItuli,0.00000,0.00000,0.400000,1.00000,2.60000,3.70000,20.6000,141.210,30.6204,2.50231,23.2223,57.7235,46.6918,0.164297E-03,0.128444
0,100,Nyssa',NYSSsylv,0.00000,0.00000,0.100000,0.00000,0.00000,0.00000,0.00000,17.0406,8.17624,0.711611E-03,0.228065E-02,0.451733E-02,0.638846E-01,0.202825E-07,0.286838E-03
0,100,Oxydendron',OXYDarbo,0.00000,0.100000,0.900000,0.00000,0.00000,0.00000,0.00000,11.3999,10.4323,0.517524E-03,0.727014E-02,0.898377E-02,0.489596E-01,0.274140E-07,0.154004E-03
0,100,Pinus',PINUechi,0.00000,0.00000,1.20000,0.300000,0.00000,0.00000,0.00000,31.5607,23.1222,0.112590E-01,0.604467E-01,0.170906,0.722224,0.542420E-06,0.227702E-02
0,100,Pinus',PINUstro,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0,100,Pinus',PINUvirg,0.00000,0.00000,1.60000,0.200000,0.00000,0.00000,0.00000,29.0263,22.2946,0.151269E-01,0.652699E-01,0.200116,0.759258,0.663202E-06,0.249407E-02
0,100,Prunus',PRUNsero,0.100000,0.00000,0.800000,4.40000,6.30000,2.00000,0.00000,79.6756,24.8486,0.316431,3.11499,6.84193,10.0045,0.197595E-04,0.294323E-01
0,100,Quercus',QUERalba,0.500000,0.00000,7.60000,7.30000,0.00000,0.00000,0.00000,47.4221,19.3348,0.107694,1.05788,1.88493,3.27314,0.573905E-05,0.102195E-01
0,100,Quercus',QUERcocc,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0,100,Quercus',QUERfalc,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0,100,Quercus',QUERprin,0.100000,0.00000,8.50000,4.30000,0.00000,0.00000,0.00000,45.2028,15.8722,0.106118,0.704237,1.47886,2.64942,0.481398E-05,0.871522E-02
0,100,Quercus',QUERrubr,0.00000,0.00000,5.60000,11.1000,4.80000,0.00000,0.00000,57.0069,22.5076,0.459956,2.52775,8.42704,10.8219,0.253481E-04,0.322784E-01
0,100,Quercus',QUERstel,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0,100,Quercus',QUERvelu,0.00000,0.00000,3.90000,7.70000,7.20000,0.300000,0.00000,70.7259,24.0873,0.398808,2.98167,8.64095,10.9187,0.249432E-04,0.317242E-01
0,100,Robinia',ROBIpseu,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0,100,Sassafras',SASSalbi,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0,100,Tilia',TILIhete,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0,110,Acer',ACERrubr,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.200000,104.419,31.7399,0.351723E-01,0.151307,0.804942,8.30382,0.229508E-05,0.237044E-01
0,110,Acer',ACERsacc,0.00000,0.00000,3.40000,9.90000,3.20000,0.00000,0.00000,56.8868,25.0197,0.300836,2.03885,6.66642,9.46683,0.191450E-04,0.273034E-01
0,110,Aesculus',AESCocta,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0,110,Carya',CARYcord,0.00000,0.00000,0.00000,0.00000,0.00000,0.800000,0.00000,81.5774,33.3928,0.736282E-01,0.382973,2.23991,11.1255,0.603750E-05,0.300134E-01
0,110,Carya',CARYglab,0.00000,0.00000,0.200000,0.700000,0.00000,0.00000,0.00000,40.2903,21.0396,0.835224E-02,0.755545E-01,0.230710,1.23922,0.632924E-06,0.343784E-02
0,110,Carya',CARYovat,0.00000,0.00000,0.200000,0.600000,0.00000,0.00000,0.00000,46.0081,25.3281,0.113880E-01,0.780060E-01,0.300272,1.75276,0.831207E-06,0.488754E-02
0,110,Carya',CARYtome,0.00000,0.00000,0.200000,0.00000,0.00000,0.00000,0.00000,20.8860,12.8803,0.172727E-03,0.586022E-02,0.965732E-02,0.976000E-01,0.239472E-07,0.239552E-03
0,110,Cercis',CERCcana,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0,110,Comus',CORNflor,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0,110,Diospyros',DIOSvirg,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0,110,Fagus',FAGUgran,0.00000,0.00000,2.90000,0.400000,0.00000,0.00000,0.00000,34.3439,17.3409,0.315948E-01,0.104477,0.354049,1.13910,0.124160E-05,0.384235E-02
0,110,Fraxinus',FRAXamer,0.100000,0.00000,2.00000,6.80000,1.70000,0.00000,0.00000,63.1495,23.7964,0.106442,1.20611,2.79935,5.40504,0.775305E-05,0.153872E-01
0,110,Juglans',JUGLnigr,0.00000,0.00000,0.00000,0.300000,0.00000,0.300000,0.600000,122.462,30.2174,0.616924E-01,0.737238,2.16817,11.9585,0.570626E-05,0.316304E-01
0,110,Juniperus',JUNIvirg,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0,110,Liquidambar',LIQUstya,0.00000,0.00000,0.00000,0.100000,0.00000,0.00000,0.00000,31.1338,18.2298,0.733067E-03,0.761299E-02,0.144716E-01,0.204659,0.427119E-07,0.604038E-03
0,110,Liriodendron',LIRItuli,0.00000,0.00000,0.100000,0.600000,0.200000,2.20000,16.0000,164.372,31.9640,2.14492,21.8551,55.5078,56.6722,0.154228E-03,0.154165
0,110,Nyssa',NYSSsylv,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0,110,Oxydendron',OXYDarbo,0.00000,0.00000,0.500000,0.00000,0.00000,0.00000,0.00000,12.9058,11.0492,0.349986E-03,0.443875E-02,0.574456E-02,0.515259E-01,0.178039E-07,0.163287E-03
0,110,Pinus',PINUechi,0.00000,0.00000,0.600000,0.500000,0.00000,0.00000,0.00000,37.5833,25.3085,0.126460E-01,0.667040E-01,0.210965,1.04455,0.651476E-06,0.321027E-02
0,110,Pinus',PINUstro,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0,110,Pinus',PINUvirg,0.00000,0.00000,1.10000,0.400000,0.00000,0.00000,0.00000,33.7429,24.1897,0.161471E-01,0.692857E-01,0.228249,0.987015,0.740456E-06,0.316332E-02
0,110,Prunus',PRUNsero,0.00000,0.00000,0.300000,2.00000,4.50000,3.90000,0.600000,93.3657,26.7879,0.398370,3.72209,8.98373,14.4554,0.256986E-04,0.420376E-01
0,110,Quercus',QUERalba,0.00000,0.00000,4.30000,7.60000,1.20000,0.00000,0.00000,57.5645,21.7315,0.136943,1.27925,2.53886,4.96832,0.761329E-05,0.152546E-01
0,110,Quercus',QUERcocc,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0,110,Quercus',QUERfalc,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0,110,Quercus',QUERprin,0.00000,0.00000,5.20000,5.30000,0.300000,0.00000,0.00000,54.5989,17.8076,0.120800,0.789181,1.81736,3.74450,0.577756E-05,0.120475E-01
